label,name
0,JACK
1,Thúy Ngân
2,Đỗ Khánh Vân
3,Thùy Dung
4,Lâm Vỹ Dạ
5,HỨA MINH ĐẠT
6,HƯƠNG GIANG
7,NINH DƯƠNG LAN NGỌC
8,Mai Thanh Hà
9,Lily Chen
10,Nguyên Khang
11,Quỳnh Lương
12,Võ Đăng Khoa
13,Elly Trần
14,Tự Long
15,Miko Lan Trinh
16,Phạm Khánh Hưng
17,KHẢ NHƯ
18,LINH KA
19,HOÀNG PHI
20,HỒ TRUNG DŨNG
21,LÊ HIẾU
22,LÃNH THANH
23,MINH ANH
24,QUỐC ANH
25,KHOAI LANG THANG 
26,MISOA
27,QUANG ĐĂNG
28,QUANG ĐẠI
29,KHÁNH LINH 
30,CAO THIÊN TRANG
31,HẰNG NGUYỄN 
32,HƯƠNG LY
33,KIM NHUNG 
34,MẠC TRUNG KIÊN 
35,QUANG HÙNG MASTERD
36,SALIM
37,THƯƠNG VÕ 
38,TOFU
39,TRẦN NHẬM
40,VÕ TẤN PHÁT
41,VŨ NGỌC CHÂM
42,NGỌC TRINH
43,LUKKADE
44,TRẤN THÀNH
45,TRƯỜNG GIANG
46,XUÂN BẮC
47,BINZ
48,RHYMASTIC
49,TOULIVER
50,ĐÔNG NHI
51,TỰ LONG
52,Unknown
