Time,Names,Frame_idx,Bboxes,Emotion
0.04,"[]",1,"[]","[]"
0.24,"[]",6,"[]","[]"
0.44,"[]",11,"[]","[]"
0.64,"[]",16,"[]","[]"
1.04,"[]",26,"[]","[]"
1.24,"[]",31,"[]","[]"
1.44,"[]",36,"[]","[]"
1.64,"[]",41,"[]","[]"
2.04,"[]",51,"[]","[]"
2.24,"[]",56,"[]","[]"
2.44,"[]",61,"[]","[]"
2.64,"[]",66,"[]","[]"
3.04,"[]",76,"[]","[]"
3.24,"[]",81,"[]","[]"
3.44,"[]",86,"[]","[]"
3.64,"[]",91,"[]","[]"
4.04,"[]",101,"[]","[]"
4.24,"[]",106,"[]","[]"
4.44,"[]",111,"[]","[]"
4.64,"[]",116,"[]","[]"
5.04,"[]",126,"[]","[]"
5.24,"[]",131,"[]","[]"
5.44,"[]",136,"[]","[]"
5.64,"[]",141,"[]","[]"
6.04,"[]",151,"[]","[]"
6.24,"[]",156,"[]","[]"
6.44,"[]",161,"[]","[]"
6.64,"[]",166,"[]","[]"
7.04,"[]",176,"[]","[]"
7.24,"[]",181,"[]","[]"
7.44,"[]",186,"[]","[]"
7.64,"[]",191,"[]","[]"
8.04,"[]",201,"[]","[]"
8.24,"[]",206,"[]","[]"
8.44,"[]",211,"[]","[]"
8.64,"[]",216,"[]","[]"
9.04,"[]",226,"[]","[]"
9.24,"[]",231,"[]","[]"
9.44,"[]",236,"[]","[]"
9.64,"[]",241,"[]","[]"
10.04,"[]",251,"[]","[]"
10.24,"[]",256,"[]","[]"
10.44,"[]",261,"[]","[]"
10.64,"[]",266,"[]","[]"
11.04,"[]",276,"[]","[]"
11.24,"[]",281,"[]","[]"
11.44,"[]",286,"[]","[]"
11.64,"[]",291,"[]","[]"
12.04,"[]",301,"[]","[]"
12.24,"[]",306,"[]","[]"
12.44,"['Unknown']",311,"[[0.6284008979797363, 0.7186715020073785, 0.7256389617919922, 0.905163319905599]]","[['glow', 'struggling', 'criminal', 'love', 'success', 'disease']]"
12.64,"['Unknown']",316,"[[0.6790664196014404, 0.7275508456759983, 0.7690343856811523, 0.9088796827528212]]","[['glow', 'fantasy', 'magical', 'disease', 'fun', 'love']]"
13.04,"[]",326,"[]","[]"
13.24,"[]",331,"[]","[]"
13.44,"[]",336,"[]","[]"
13.64,"[]",341,"[]","[]"
14.04,"[]",351,"[]","[]"
14.24,"[]",356,"[]","[]"
14.44,"[]",361,"[]","[]"
14.64,"[]",366,"[]","[]"
15.04,"[]",376,"[]","[]"
15.24,"[]",381,"[]","[]"
15.44,"[]",386,"[]","[]"
15.64,"[]",391,"[]","[]"
16.04,"[]",401,"[]","[]"
16.24,"[]",406,"[]","[]"
16.44,"[]",411,"[]","[]"
16.64,"['Unknown']",416,"[[0.33364760875701904, 0.1909776899549696, 0.4461693286895752, 0.45369813707139756]]","[['erotic', 'glow', 'fantasy', 'fun', 'love', 'mystery']]"
17.04,"['Unknown']",426,"[[0.3342468738555908, 0.1747099346584744, 0.4640097141265869, 0.47344398498535156]]","[['glow', 'criminal', 'addiction', 'disease', 'danger', 'touching']]"
17.24,"['Miu Le']",431,"[[0.33283951282501223, 0.1742368910047743, 0.4629708766937256, 0.4721838209364149]]","[['serious', 'disease', 'bothered', 'touching', 'glow', 'pain']]"
17.44,"['Miu Le']",436,"[[0.3282574415206909, 0.1686676131354438, 0.45839781761169435, 0.46327785915798614]]","[['pain', 'bothered', 'faith', 'meditation', 'disease', 'pray']]"
17.64,"['Miu Le']",441,"[[0.30976181030273436, 0.16795779334174263, 0.43853187561035156, 0.4650967068142361]]","[['bothered', 'pain', 'disease', 'serious', 'stress', 'problem']]"
18.04,"['Miu Le']",451,"[[0.2881638765335083, 0.20253641340467665, 0.4157116413116455, 0.5046722835964627]]","[['serious', 'bothered', 'problem', 'sad', 'unhappy', 'pain']]"
18.24,"['Miu Le']",456,"[[0.2899363040924072, 0.2086030960083008, 0.4166539192199707, 0.5092764960394965]]","[['bothered', 'pain', 'disease', 'problem', 'stress', 'depression']]"
18.44,"['Unknown']",461,"[[0.2953438997268677, 0.1765324910481771, 0.4212668418884277, 0.47139002482096354]]","[['disease', 'pain', 'bothered', 'sick', 'addiction', 'infection']]"
18.64,"['Miu Le']",466,"[[0.3003537654876709, 0.1934602313571506, 0.4268782138824463, 0.49010336134168836]]","[['disease', 'bothered', 'pain', 'sick', 'problem', 'addiction']]"
19.04,"['Miu Le']",476,"[[0.2949649810791016, 0.19838873545328775, 0.42501678466796877, 0.5061981625027127]]","[['disease', 'bothered', 'pain', 'sick', 'problem', 'addiction']]"
19.24,"['Miu Le']",481,"[[0.2915345668792725, 0.19715152316623263, 0.425946569442749, 0.5059143490261502]]","[['disease', 'bothered', 'pain', 'sick', 'ill', 'unwell']]"
19.44,"['Miu Le']",486,"[[0.29089376926422117, 0.2006708780924479, 0.42331933975219727, 0.507435777452257]]","[['disease', 'bothered', 'pain', 'sick', 'problem', 'ill']]"
19.64,"['Miu Le']",491,"[[0.2894531488418579, 0.2028760486178928, 0.4213320255279541, 0.5087671915690104]]","[['disease', 'bothered', 'pain', 'sick', 'addiction', 'problem']]"
20.04,"['Unknown']",501,"[[0.2899512767791748, 0.19811130099826388, 0.423692512512207, 0.5165407816569011]]","[['disease', 'bothered', 'addiction', 'pain', 'sick', 'problem']]"
20.24,"['Unknown']",506,"[[0.2906601667404175, 0.19760782453748915, 0.42836828231811525, 0.5165120442708333]]","[['bothered', 'pain', 'disease', 'serious', 'problem', 'mystery']]"
20.44,"['Unknown']",511,"[[0.2896725654602051, 0.19282243516710068, 0.428226375579834, 0.5306572808159722]]","[['disease', 'addiction', 'bothered', 'pain', 'problem', 'bad']]"
20.64,"['Unknown']",516,"[[0.287650465965271, 0.18969862196180556, 0.4279973030090332, 0.5181982676188152]]","[['disease', 'bothered', 'pain', 'addiction', 'problem', 'sick']]"
21.04,"['Miu Le']",526,"[[0.2896858215332031, 0.1989490932888455, 0.42639970779418945, 0.5315703921847873]]","[['disease', 'bothered', 'addiction', 'pain', 'bad', 'immoral']]"
21.24,"['Unknown']",531,"[[0.2930686235427856, 0.1955585479736328, 0.4308380126953125, 0.5216287400987413]]","[['bothered', 'addiction', 'pain', 'disease', 'bad', 'problem']]"
21.44,"['Unknown']",536,"[[0.2937680721282959, 0.19485225677490234, 0.4299339771270752, 0.5169278462727864]]","[['addiction', 'bothered', 'mystery', 'pain', 'disease', 'bad']]"
21.64,"['Unknown']",541,"[[0.29070611000061036, 0.19708720313178169, 0.42856364250183104, 0.5262970818413628]]","[['serious', 'frowning', 'stern', 'unsmiling', 'bothered', 'bad']]"
22.04,"['Unknown']",551,"[[0.29411017894744873, 0.19988975524902344, 0.43100790977478026, 0.525439961751302]]","[['mystery', 'glow', 'serious', 'addiction', 'fantasy', 'faith']]"
22.24,"['Miu Le']",556,"[[0.2989488124847412, 0.2053815205891927, 0.43222270011901853, 0.5264444986979167]]","[['addiction', 'disease', 'mystery', 'bothered', 'glow', 'serious']]"
22.44,"['Unknown']",561,"[[0.3035662412643433, 0.2049449708726671, 0.4338220596313477, 0.5087381574842665]]","[['bothered', 'bad', 'danger', 'pain', 'evil', 'immoral']]"
22.64,"['Unknown']",566,"[[0.30554521083831787, 0.20882447560628256, 0.4394160270690918, 0.5139546288384331]]","[['addiction', 'bothered', 'bad', 'pain', 'immoral', 'danger']]"
23.04,"['Unknown']",576,"[[0.31000046730041503, 0.23081751929389105, 0.43876285552978517, 0.5105679829915365]]","[['glow', 'disease', 'bothered', 'pain', 'touching', 'care']]"
23.24,"['Unknown']",581,"[[0.31923370361328124, 0.23914606306287978, 0.4422153949737549, 0.5085346221923828]]","[['faith', 'glow', 'serious', 'addiction', 'touching', 'disease']]"
23.44,"['Unknown']",586,"[[0.3239887714385986, 0.24746273888481987, 0.44300456047058107, 0.5224672529432509]]","[['disease', 'pain', 'bothered', 'faith', 'death', 'sick']]"
23.64,"['Unknown']",591,"[[0.3221937656402588, 0.24632589552137588, 0.4520759582519531, 0.5221052805582682]]","[['faith', 'pray', 'hope', 'praying', 'death', 'faithful']]"
24.04,"[]",601,"[]","[]"
24.24,"[]",606,"[]","[]"
24.44,"[]",611,"[]","[]"
24.64,"[]",616,"[]","[]"
25.04,"[]",626,"[]","[]"
25.24,"['Unknown']",631,"[[0.7980546474456787, 0.23260296715630424, 0.9376848220825196, 0.6476107703314887]]","[['glow', 'hope', 'fantasy', 'faith', 'mystery', 'mystical']]"
25.44,"[]",636,"[]","[]"
25.64,"[]",641,"[]","[]"
26.04,"[]",651,"[]","[]"
26.24,"[]",656,"[]","[]"
26.44,"['Unknown']",661,"[[0.5471095561981201, 0.2710770924886068, 0.681227445602417, 0.5675403594970703]]","[['glow', 'fantasy', 'hope', 'faith', 'mystical', 'mystery']]"
26.64,"['Unknown']",666,"[[0.14390170574188232, 0.5452629937065973, 0.29412240982055665, 0.8929562038845487]]","[['hope', 'glow', 'danger', 'faith', 'death', 'mystery']]"
27.04,"['Unknown']",676,"[[0.7845410346984864, 0.23623941209581162, 0.9623072624206543, 0.614049784342448]]","[['glow', 'fantasy', 'death', 'faith', 'hope', 'mystical']]"
27.24,"[]",681,"[]","[]"
27.44,"[]",686,"[]","[]"
27.64,"[]",691,"[]","[]"
