Time,Names,Frame_idx,Bboxes,Emotion
0.04,"[]",1,"[]","[]"
0.24,"[]",6,"[]","[]"
0.44,"[]",11,"[]","[]"
0.64,"[]",16,"[]","[]"
1.04,"[]",26,"[]","[]"
1.24,"[]",31,"[]","[]"
1.44,"[]",36,"[]","[]"
1.64,"[]",41,"[]","[]"
2.04,"[]",51,"[]","[]"
2.24,"[]",56,"[]","[]"
2.44,"[]",61,"[]","[]"
2.64,"[]",66,"[]","[]"
3.04,"[]",76,"[]","[]"
3.24,"[]",81,"[]","[]"
3.44,"[]",86,"[]","[]"
3.64,"[]",91,"[]","[]"
4.04,"[]",101,"[]","[]"
4.24,"[]",106,"[]","[]"
4.44,"[]",111,"[]","[]"
4.64,"[]",116,"[]","[]"
5.04,"[]",126,"[]","[]"
5.24,"[]",131,"[]","[]"
5.44,"[]",136,"[]","[]"
5.64,"[]",141,"[]","[]"
6.04,"[]",151,"[]","[]"
6.24,"[]",156,"[]","[]"
6.44,"['Unknown', 'Unknown']",161,"[[0.5170804977416992, 0.03357407477049701, 0.5792266845703125, 0.1935648116390262], [0.648907470703125, 0.35896544329887997, 0.7143163045247396, 0.542362685752126]]","[['disease', 'bothered', 'pain', 'addiction', 'problem', 'danger'], ['disease', 'pain', 'care', 'bothered', 'horror', 'criminal']]"
6.64,"[]",166,"[]","[]"
7.04,"[]",176,"[]","[]"
7.24,"[]",181,"[]","[]"
7.44,"[]",186,"[]","[]"
7.64,"['Unknown', 'Unknown']",191,"[[0.32176462809244794, 0.23425490455289857, 0.5450131734212239, 0.7622719823786642], [0.414590581258138, 0.0811027003600534, 0.6445739110310872, 0.6399033132907563]]","[['sad', 'sadness', 'depression', 'sorrowful', 'disease', 'bothered'], ['mystery', 'criminal', 'halloween', 'danger', 'success', 'mysterious']]"
8.04,"['Unknown', 'Unknown']",201,"[[0.49434970219930013, 0.44198402472301923, 0.7327162424723307, 0.9651063902188192], [0.4545646031697591, 0.13291242481332965, 0.6843524932861328, 0.6182255702736104]]","[['negative', 'criminal', 'corruption', 'tear', 'violence', 'fraud'], ['horror', 'mystery', 'halloween', 'death', 'nightmare', 'evil']]"
8.24,"['Unknown']",206,"[[0.4859224001566569, 0.5326496900710385, 0.6855722427368164, 1.0290284283393252]]","[['tear', 'negative', 'faith', 'success', 'sorrowful', 'corruption']]"
8.44,"['Unknown', 'Unknown']",211,"[[0.4513693809509277, 0.4915917320589049, 0.6581932067871094, 0.9957859410648853], [0.6008906046549479, 0.30992393156068515, 0.7783297220865886, 0.6133684816613661]]","[['death', 'horror', 'halloween', 'evil', 'faith', 'fear'], ['disease', 'horror', 'death', 'danger', 'bad', 'infection']]"
8.64,"['Unknown', 'Unknown']",216,"[[0.4102859814961751, 0.37406360997562915, 0.675027592976888, 0.9953102854500829], [0.49791364669799804, 0.1858715631265556, 0.7579302469889323, 0.7309755983605849]]","[['faith', 'tear', 'criminal', 'pray', 'faithful', 'success'], ['danger', 'mystery', 'criminal', 'dreads', 'fear', 'horror']]"
9.04,"['Unknown', 'Unknown']",226,"[[0.41702019373575844, 0.389169844905887, 0.6313268025716146, 0.9422395419230504], [0.3774180094401042, 0.08191940003791742, 0.5792439778645834, 0.6014393494192478]]","[['criminal', 'mystery', 'horror', 'fear', 'dreads', 'violence'], ['fear', 'dreads', 'mystery', 'mysterious', 'evil', 'horror']]"
9.24,"['Unknown', 'Unknown', 'Unknown']",231,"[[0.4075829823811849, 0.3478489090911055, 0.6273484547932943, 0.9092794772797981], [0.3532180150349935, -0.0178158874005343, 0.5838122049967448, 0.5239542058083864], [0.5118507703145345, 0.09036862533704369, 0.7169578552246094, 0.6580832827407702]]","[['faith', 'faithful', 'pray', 'corruption', 'gift', 'tear'], ['criminal', 'danger', 'evil', 'mystery', 'horror', 'fear'], ['mystery', 'mysterious', 'faith', 'fantasy', 'halloween', 'criminal']]"
9.44,"[]",236,"[]","[]"
9.64,"['Unknown', 'Unknown', 'Unknown']",241,"[[0.26608263651529945, 0.29568214754087735, 0.5354055404663086, 0.9398308137876797], [0.2035219669342041, 0.09171894377311773, 0.47978216807047525, 0.6934949486656526], [0.36410497029622396, 0.03753981126093232, 0.6000596364339192, 0.6533885044334209]]","[['horror', 'fear', 'halloween', 'sad', 'tear', 'dreads'], ['depression', 'sad', 'sadness', 'sorrowful', 'bothered', 'alone'], ['horror', 'halloween', 'fear', 'disease', 'nightmare', 'dreads']]"
10.04,"['Unknown', 'Unknown', 'Unknown']",251,"[[0.2576483726501465, 0.2942544042536643, 0.5259565035502116, 0.9429048521328817], [0.36603317260742185, 0.04067051305180102, 0.6071383794148763, 0.6370118402801783], [0.23083403905232747, 0.08830136324452088, 0.4675025304158529, 0.6680355915981057]]","[['tear', 'broken', 'horror', 'halloween', 'creepy', 'dirty'], ['horror', 'death', 'nightmare', 'fear', 'halloween', 'dreads'], ['tear', 'disease', 'addiction', 'bothered', 'depression', 'sorrowful']]"
10.24,"['Unknown']",256,"[[0.48070363998413085, 0.21956668279867256, 0.552401351928711, 0.4165057629610585]]","[['depression', 'sad', 'problem', 'sorrowful', 'bothered', 'fear']]"
10.44,"['Unknown']",261,"[[0.47841625213623046, 0.21862965136502696, 0.5521697362263998, 0.41532577244581376]]","[['sad', 'depression', 'sorrowful', 'problem', 'sadness', 'fear']]"
10.64,"['Unknown']",266,"[[0.47528839111328125, 0.22591727602798328, 0.546978251139323, 0.42518497568316166]]","[['sad', 'depression', 'sorrowful', 'fear', 'problem', 'sadness']]"
11.04,"['Unknown']",276,"[[0.46473286946614584, 0.21717787210920217, 0.539007568359375, 0.41421549299121957]]","[['depression', 'problem', 'sad', 'sorrowful', 'bothered', 'sadness']]"
11.24,"['Unknown']",281,"[[0.4634655634562174, 0.19617624198440956, 0.5364528656005859, 0.3961060785614284]]","[['fear', 'depression', 'dreads', 'sad', 'bothered', 'problem']]"
11.44,"['Unknown']",286,"[[0.4619107246398926, 0.18479710131619884, 0.5343227386474609, 0.3851807855926784]]","[['fear', 'dreads', 'sad', 'depression', 'danger', 'sorrowful']]"
11.64,"['Unknown']",291,"[[0.46449918746948243, 0.17925873477902032, 0.5383747100830079, 0.3791614633745852]]","[['depression', 'fear', 'dreads', 'sad', 'bothered', 'sadness']]"
12.04,"['Unknown']",301,"[[0.5980779647827148, 0.13548851013183594, 0.8079243342081706, 0.700866429151687]]","[['mystery', 'mysterious', 'sad', 'depression', 'sadness', 'nightmare']]"
12.24,"['Unknown']",306,"[[0.5763722737630208, 0.06673470218624689, 0.7878097534179688, 0.6419091013680517]]","[['sad', 'depression', 'sadness', 'sorrowful', 'bothered', 'dreads']]"
12.44,"['Unknown']",311,"[[0.5758003234863281, 0.12219026447397417, 0.7886039733886718, 0.6640683739586214]]","[['sad', 'sadness', 'sorrowful', 'depression', 'faith', 'praying']]"
12.64,"['Unknown']",316,"[[0.5600587844848632, 0.09018919109243208, 0.7682303110758464, 0.6434299840336353]]","[['sad', 'sadness', 'alone', 'sorrowful', 'depression', 'loneliness']]"
13.04,"['Unknown']",326,"[[0.5868506113688151, 0.14403498489244848, 0.787897237141927, 0.706484229163786]]","[['fantasy', 'tear', 'sad', 'mystery', 'sadness', 'love']]"
13.24,"['Unknown']",331,"[[0.578540547688802, 0.16919171493665308, 0.775951894124349, 0.7048866474522953]]","[['love', 'halloween', 'fantasy', 'horror', 'death', 'mystery']]"
13.44,"['Unknown']",336,"[[0.5191582361857097, 0.11230178427907218, 0.6145135243733724, 0.3687177337376417]]","[['birthday', 'gift', 'celebration', 'delicious', 'love', 'broken']]"
13.64,"[]",341,"[]","[]"
14.04,"['Unknown']",351,"[[0.48446601231892905, 0.06450833261540506, 0.579068120320638, 0.33950937321755736]]","[['corruption', 'criminal', 'danger', 'success', 'addiction', 'faithful']]"
14.24,"['Unknown', 'Unknown']",356,"[[0.431187375386556, -0.01355765773131784, 0.5415800094604493, 0.2676847002147573], [0.655267079671224, 0.5905302604742809, 0.7211485544840495, 0.7619947585384402]]","[['faithful', 'mystery', 'corruption', 'criminal', 'tear', 'horror'], ['disease', 'death', 'pain', 'bothered', 'addiction', 'horror']]"
14.44,"['Unknown', 'Unknown', 'Unknown']",361,"[[0.3682509422302246, -0.007714793217920624, 0.4821730613708496, 0.20755074087497408], [0.6145196914672851, 0.660475401751763, 0.6782049179077149, 0.8246847507172981], [0.7479047775268555, 0.4304629300547912, 0.8111960093180338, 0.6249524681969026]]","[['criminal', 'danger', 'corruption', 'violence', 'fear', 'horror'], ['corruption', 'fraud', 'criminal', 'protest', 'faith', 'danger'], ['disease', 'criminal', 'bothered', 'pain', 'death', 'care']]"
14.64,"['Unknown', 'Unknown']",366,"[[0.5742844899495443, 0.6718163954473175, 0.643861198425293, 0.8579514089938813], [0.7066235224405925, 0.4455035049303443, 0.7860088984171549, 0.641892762310737]]","[['criminal', 'danger', 'corruption', 'fraud', 'death', 'violence'], ['fear', 'disease', 'bothered', 'problem', 'horror', 'depression']]"
15.04,"['Unknown', 'Unknown']",376,"[[0.49840030670166013, 0.5035386212104189, 0.5777582804361979, 0.7235199244676438], [0.6211642583211263, 0.27874696782204955, 0.7063936233520508, 0.5184540200022469]]","[['broken', 'danger', 'disease', 'death', 'horror', 'pain'], ['death', 'horror', 'halloween', 'mystery', 'nightmare', 'evil']]"
