Time,Names,Frame_idx,Bboxes,Emotion
0.04,"[]",1,"[]","[]"
0.24,"[]",6,"[]","[]"
0.44,"[]",11,"[]","[]"
0.64,"[]",16,"[]","[]"
1.04,"['Unknown']",26,"[[0.4468615736280169, 0.19996593112037295, 0.5401769365583148, 0.4906841156974671]]","[['serious', 'determination', 'success', 'criminal', 'problem', 'stress']]"
1.24,"['Unknown']",31,"[[0.3842959063393729, 0.15848202175564235, 0.47835077558244976, 0.41903389824761283]]","[['mystery', 'death', 'nightmare', 'halloween', 'mysterious', 'fantasy']]"
1.44,"['Unknown']",36,"[[0.5907272611345563, 0.1969361078171503, 0.6935860770089286, 0.43554829794263084]]","[['faith', 'faithful', 'hope', 'protest', 'love', 'pray']]"
1.64,"['BINZ']",41,"[[0.40348795482090544, 0.17054500277080234, 0.510113068989345, 0.4532736520918589]]","[['serious', 'danger', 'sorrowful', 'sad', 'fear', 'criminal']]"
2.04,"[]",51,"[]","[]"
2.24,"['BINZ']",56,"[[0.38147616386413574, 0.17367588527618893, 0.4908043997628348, 0.45740860227554564]]","[['sad', 'sorrowful', 'problem', 'depression', 'danger', 'serious']]"
2.44,"['BINZ']",61,"[[0.377389805657523, 0.16847633180164157, 0.48630108152117046, 0.457474118187314]]","[['danger', 'fear', 'dreads', 'mystery', 'criminal', 'sad']]"
2.64,"[]",66,"[]","[]"
3.04,"[]",76,"[]","[]"
3.24,"[]",81,"[]","[]"
3.44,"['Unknown']",86,"[[0.7278971672058105, 0.13105445437961155, 0.9393506050109863, 0.5910416254921566]]","[['danger', 'war', 'death', 'faith', 'success', 'fear']]"
3.64,"[]",91,"[]","[]"
4.04,"['Unknown', 'Unknown']",101,"[[0.6123776435852051, 0.22482401227194165, 0.6780239513942173, 0.3768121628534226], [0.5662133012499128, 0.36129303584023126, 0.652937752859933, 0.5540047297402034]]","[['criminal', 'violence', 'corruption', 'murder', 'victim', 'death'], ['criminal', 'addiction', 'danger', 'problem', 'murder', 'fear']]"
4.24,"['Unknown']",106,"[[0.544466495513916, 0.2333749286712162, 0.6580446788242885, 0.5023639315650577]]","[['danger', 'criminal', 'depression', 'problem', 'fear', 'sad']]"
4.44,"[]",111,"[]","[]"
4.64,"['Unknown']",116,"[[0.5477606569017682, 0.19087137494768416, 0.666097913469587, 0.498466067843967]]","[['serious', 'success', 'problem', 'mystery', 'sad', 'depression']]"
5.04,"[]",126,"[]","[]"
5.24,"[]",131,"[]","[]"
5.44,"['Unknown']",136,"[[0.05372416973114014, 0.22567957923525855, 0.5342043127332415, 1.2995186457558283]]","[['halloween', 'horror', 'creepy', 'fear', 'mystery', 'dreads']]"
5.64,"['Unknown']",141,"[[-0.03643077611923218, 0.0030257105827331543, 0.4940509114946638, 1.0778114682152158]]","[['glow', 'fantasy', 'halloween', 'mystery', 'horror', 'celebration']]"
6.04,"[]",151,"[]","[]"
6.24,"[]",156,"[]","[]"
6.44,"[]",161,"[]","[]"
6.64,"['Unknown']",166,"[[0.43164409909929546, 0.22931201874263704, 0.5146736417497907, 0.42984783838665674]]","[['criminal', 'murder', 'suspect', 'violence', 'suspicious', 'victim']]"
7.04,"[]",176,"[]","[]"
7.24,"['Unknown']",181,"[[0.352961676461356, 0.16301934681241476, 0.48924347332545687, 0.46119141957116505]]","[['mysterious', 'fantasy', 'mystery', 'mystical', 'glow', 'bizarre']]"
7.44,"[]",186,"[]","[]"
7.64,"['Unknown']",191,"[[0.38317963055201937, 0.1734314418974377, 0.5025068691798619, 0.4599053216358972]]","[['criminal', 'danger', 'fear', 'dreads', 'negative', 'horror']]"
8.04,"[]",201,"[]","[]"
8.24,"['Unknown']",206,"[[0.04801911115646362, -0.10785518373761858, 0.3671469007219587, 0.5584346831790985]]","[['success', 'holiday', 'mystery', 'criminal', 'fun', 'faith']]"
8.44,"['Unknown']",211,"[[0.5361980710710798, 0.17961261385963076, 0.8226330620901925, 0.7760350666348896]]","[['glow', 'grim', 'fantasy', 'gloom', 'dismal', 'vibrant']]"
8.64,"[]",216,"[]","[]"
9.04,"[]",226,"[]","[]"
9.24,"[]",231,"[]","[]"
9.44,"['Unknown']",236,"[[0.5247688974652972, 0.30302601768856957, 0.629375730242048, 0.524810548812624]]","[['mysterious', 'danger', 'mystery', 'dangerous', 'criminal', 'fantasy']]"
9.64,"[]",241,"[]","[]"
10.04,"[]",251,"[]","[]"
10.24,"[]",256,"[]","[]"
10.44,"['Unknown', 'Unknown']",261,"[[0.6596499170575824, 0.35220131041511654, 0.7188106264386859, 0.4944807385641431], [0.3098968437739781, 0.28028672838967944, 0.3772753987993513, 0.4260889083620102]]","[['mystery', 'mysterious', 'criminal', 'death', 'fantasy', 'evil'], ['disease', 'care', 'bothered', 'pain', 'pressure', 'criminal']]"
10.64,"['Unknown', 'RHYMASTIC']",266,"[[0.6588454927716937, 0.3591740320599268, 0.7189669609069824, 0.4956341698056176], [0.3211744853428432, 0.2889337691049727, 0.3863048553466797, 0.4423122103252108]]","[['mystery', 'criminal', 'death', 'mysterious', 'danger', 'evil'], ['disease', 'pain', 'bothered', 'care', 'glow', 'nervous']]"
11.04,"['Unknown', 'Unknown']",276,"[[0.33744784763881136, 0.3057559785388765, 0.39361040932791574, 0.4247583359006851], [0.6482656342642648, 0.35545164441305493, 0.7037580353873116, 0.4810758015466115]]","[['care', 'disease', 'danger', 'touching', 'criminal', 'fear'], ['criminal', 'horror', 'halloween', 'nightmare', 'evil', 'death']]"
11.24,"['Unknown']",281,"[[0.4516801152910505, 0.44508049980042474, 0.4948574815477644, 0.5432483733646454]]","[['death', 'criminal', 'evil', 'horror', 'halloween', 'success']]"
11.44,"[]",286,"[]","[]"
11.64,"['Unknown']",291,"[[0.48987562315804617, 0.4052621145097036, 0.5551981244768415, 0.5384396144321987]]","[['criminal', 'serious', 'danger', 'addiction', 'death', 'success']]"
12.04,"['Unknown']",301,"[[0.45314267703465055, 0.17814993479895214, 0.5645924976893834, 0.4521138630216084]]","[['glow', 'death', 'mystery', 'hope', 'mysterious', 'faith']]"
12.24,"['TRẤN THÀNH']",306,"[[0.4456819125584194, 0.1588897705078125, 0.5624776567731585, 0.44459022037566653]]","[['depression', 'serious', 'fear', 'sad', 'sadness', 'mystery']]"
12.44,"['TRẤN THÀNH']",311,"[[0.4469059876033238, 0.16066523960658483, 0.5677851949419294, 0.45007296970912386]]","[['depression', 'sad', 'serious', 'sadness', 'sorrowful', 'fear']]"
12.64,"['Unknown']",316,"[[0.4601202351706369, 0.19116609058682882, 0.5519935062953404, 0.41997073945545016]]","[['mystical', 'fantasy', 'peace', 'mysterious', 'mystery', 'hope']]"
13.04,"['Unknown', 'RHYMASTIC']",326,"[[0.46478867530822754, 0.15505633278498573, 0.6008126395089286, 0.4601539732917907], [0.059615722724369595, 0.315345461406405, 0.1770091908318656, 0.5826427520267548]]","[['faithful', 'death', 'cheer', 'pride', 'protest', 'compete'], ['criminal', 'danger', 'murder', 'addiction', 'dangerous', 'death']]"
13.24,"['Unknown']",331,"[[0.4613668578011649, 0.09881693219381665, 0.6208722931998116, 0.4458956037248884]]","[['mystery', 'halloween', 'horror', 'mysterious', 'evil', 'criminal']]"
13.44,"['Unknown']",336,"[[0.43463379996163504, 0.057793469656081425, 0.5956386838640485, 0.4688346196734716]]","[['mystery', 'fantasy', 'halloween', 'mysterious', 'evil', 'serious']]"
13.64,"['Unknown']",341,"[[0.3966003826686314, 0.09708990369524274, 0.5830910546439034, 0.5162374708387587]]","[['faithful', 'death', 'horror', 'dead', 'mystery', 'halloween']]"
14.04,"[]",351,"[]","[]"
14.24,"[]",356,"[]","[]"
14.44,"[]",361,"[]","[]"
14.64,"[]",366,"[]","[]"
15.04,"[]",376,"[]","[]"
15.24,"[]",381,"[]","[]"
15.44,"[]",386,"[]","[]"
15.64,"[]",391,"[]","[]"
16.04,"[]",401,"[]","[]"
16.24,"[]",406,"[]","[]"
16.44,"[]",411,"[]","[]"
16.64,"[]",416,"[]","[]"
17.04,"[]",426,"[]","[]"
17.24,"[]",431,"[]","[]"
17.44,"[]",436,"[]","[]"
17.64,"[]",441,"[]","[]"
18.04,"[]",451,"[]","[]"
18.24,"['Unknown']",456,"[[0.3258556638445173, 0.8260690598260789, 0.39678168296813965, 0.9874268789140005]]","[['glow', 'hope', 'faith', 'mystery', 'love', 'mysterious']]"
18.44,"[]",461,"[]","[]"
18.64,"[]",466,"[]","[]"
19.04,"[]",476,"[]","[]"
19.24,"[]",481,"[]","[]"
19.44,"[]",486,"[]","[]"
19.64,"[]",491,"[]","[]"
20.04,"[]",501,"[]","[]"
20.24,"[]",506,"[]","[]"
20.44,"[]",511,"[]","[]"
20.64,"[]",516,"[]","[]"
21.04,"[]",526,"[]","[]"
21.24,"[]",531,"[]","[]"
21.44,"[]",536,"[]","[]"
21.64,"[]",541,"[]","[]"
22.04,"[]",551,"[]","[]"
22.24,"[]",556,"[]","[]"
22.44,"[]",561,"[]","[]"
22.64,"[]",566,"[]","[]"
23.04,"[]",576,"[]","[]"
23.24,"[]",581,"[]","[]"
23.44,"[]",586,"[]","[]"
23.64,"[]",591,"[]","[]"
24.04,"[]",601,"[]","[]"
24.24,"[]",606,"[]","[]"
24.44,"[]",611,"[]","[]"
24.64,"[]",616,"[]","[]"
25.04,"[]",626,"[]","[]"
25.24,"[]",631,"[]","[]"
25.44,"[]",636,"[]","[]"
