Time,Names,Frame_idx,Bboxes,Emotion
0.04,"['Son Tung']",1,"[[0.31645903587341306, 0.0985133945941925, 0.49667835235595703, 0.5611546039581299]]","[['serious', 'halloween', 'evil', 'fantasy', 'mystery', 'angry']]"
0.24,"['Son Tung']",6,"[[0.3174788475036621, 0.09489603042602539, 0.4947224140167236, 0.5582777976989746]]","[['serious', 'halloween', 'evil', 'fantasy', 'mystery', 'mysterious']]"
0.44,"['Son Tung']",11,"[[0.31653556823730467, 0.08881087303161621, 0.4960503578186035, 0.5577011585235596]]","[['serious', 'halloween', 'evil', 'fantasy', 'mystery', 'unsmiling']]"
0.64,"['Son Tung']",16,"[[0.32521767616271974, 0.08607442378997802, 0.5090102672576904, 0.5580217838287354]]","[['halloween', 'serious', 'fantasy', 'mystery', 'evil', 'mysterious']]"
1.04,"['Son Tung']",26,"[[0.36106181144714355, 0.09817205667495728, 0.5487957000732422, 0.5884938716888428]]","[['halloween', 'evil', 'mystery', 'fantasy', 'mysterious', 'serious']]"
1.24,"['Son Tung']",31,"[[0.38186054229736327, 0.12528096437454223, 0.5732163429260254, 0.6042932987213134]]","[['halloween', 'fantasy', 'evil', 'mystery', 'mysterious', 'serious']]"
1.44,"['Son Tung']",36,"[[0.3933865547180176, 0.14882266521453857, 0.5845258235931396, 0.6386532306671142]]","[['halloween', 'fantasy', 'evil', 'mystery', 'horror', 'serious']]"
1.64,"['Son Tung']",41,"[[0.4088329315185547, 0.15921578407287598, 0.5965149879455567, 0.6403149604797364]]","[['halloween', 'fantasy', 'evil', 'mystery', 'horror', 'serious']]"
2.04,"['Son Tung']",51,"[[0.4122634410858154, 0.14383691549301147, 0.5975520610809326, 0.6432089328765869]]","[['halloween', 'mystery', 'serious', 'fantasy', 'evil', 'horror']]"
2.24,"['Son Tung']",56,"[[0.41123180389404296, 0.1559363603591919, 0.6005490303039551, 0.6477105140686035]]","[['halloween', 'mystery', 'fantasy', 'evil', 'serious', 'horror']]"
2.44,"['Son Tung']",61,"[[0.40760316848754885, 0.14325497150421143, 0.5954759597778321, 0.6493121147155761]]","[['halloween', 'mystery', 'evil', 'fantasy', 'horror', 'weird']]"
2.64,"['Son Tung']",66,"[[0.40450162887573243, 0.14375156164169312, 0.5933692455291748, 0.6500599384307861]]","[['halloween', 'evil', 'mystery', 'fantasy', 'horror', 'bizarre']]"
3.04,"['Son Tung']",76,"[[0.3963507413864136, 0.15402698516845703, 0.5924949169158935, 0.6585476875305176]]","[['halloween', 'mystery', 'fantasy', 'evil', 'horror', 'mysterious']]"
3.24,"['Son Tung']",81,"[[0.38597443103790285, 0.1501460075378418, 0.5925885200500488, 0.6687724113464355]]","[['halloween', 'mystery', 'fantasy', 'evil', 'horror', 'mysterious']]"
3.44,"['Son Tung']",86,"[[0.3827736139297485, 0.15279299020767212, 0.582946491241455, 0.6676505088806153]]","[['halloween', 'mystery', 'fantasy', 'evil', 'horror', 'mysterious']]"
3.64,"[]",91,"[]","[]"
4.04,"[]",101,"[]","[]"
4.24,"[]",106,"[]","[]"
4.44,"[]",111,"[]","[]"
4.64,"[]",116,"[]","[]"
